Date,key,value
2012-09-30T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6106
2012-09-30T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6044
2012-10-07T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,9443
2012-10-07T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,8796
2012-10-14T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7833
2012-10-14T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7385
2012-10-21T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6830
2012-10-21T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6534
2012-10-28T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6471
2012-10-28T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5774
2012-11-04T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7962
2012-11-04T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7437
2012-11-11T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6185
2012-11-11T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5927
2012-11-18T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,3187
2012-11-18T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,3037
2012-11-25T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6147
2012-11-25T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5878
2012-12-02T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5759
2012-12-02T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5516
2012-12-09T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5399
2012-12-09T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5163
2012-12-16T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,3701
2012-12-16T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,3666
2012-12-23T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,2490
2012-12-23T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,2360
2012-12-30T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,4298
2012-12-30T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,4130
2013-01-06T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,4918
2013-01-06T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,4663
2013-01-13T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5418
2013-01-13T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5148
2013-01-20T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5205
2013-01-20T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,4964
2013-01-27T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5729
2013-01-27T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5333
2013-02-03T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6558
2013-02-03T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6067
2013-02-10T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6702
2013-02-10T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6131
2013-02-17T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5929
2013-02-17T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5601
2013-02-24T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6553
2013-02-24T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6323
2013-03-03T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,8556
2013-03-03T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7683
2013-03-10T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6573
2013-03-10T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6217
2013-03-17T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6747
2013-03-17T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6286
2013-03-24T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,9711
2013-03-24T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,8875
2013-03-31T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,8712
2013-03-31T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,8310
2013-04-07T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7028
2013-04-07T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6641
2013-04-14T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7640
2013-04-14T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6915
2013-04-21T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,11401
2013-04-21T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,10429
2013-04-28T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,12910
2013-04-28T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,11701
2013-05-05T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,15815
2013-05-05T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,14339
2013-05-12T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,12640
2013-05-12T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,11332
2013-05-19T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,10539
2013-05-19T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,9749
2013-05-26T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,9998
2013-05-26T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,9076
2013-06-02T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,14388
2013-06-02T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,13233
2013-06-09T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,12456
2013-06-09T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,11470
2013-06-16T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,11863
2013-06-16T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,11496
2013-06-23T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,9976
2013-06-23T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,9412
2013-06-30T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,13156
2013-06-30T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,12507
2013-07-07T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,13636
2013-07-07T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,13223
2013-07-14T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,13710
2013-07-14T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,12924
2013-07-21T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,13557
2013-07-21T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,13277
2013-07-28T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,11887
2013-07-28T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,11398
2013-08-04T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,13226
2013-08-04T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,12715
2013-08-11T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,12388
2013-08-11T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,11967
2013-08-18T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,12554
2013-08-18T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,12426
2013-08-25T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,10586
2013-08-25T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,10132
2013-09-01T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,9245
2013-09-01T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,8480
2013-09-08T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,12212
2013-09-08T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,11777
2013-09-15T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,10746
2013-09-15T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,9920
2013-09-22T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,8053
2013-09-22T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7547
2013-09-29T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,8634
2013-09-29T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7875
2013-10-06T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,9539
2013-10-06T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,8828
2013-10-13T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,10010
2013-10-13T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,9049
2013-10-20T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,8615
2013-10-20T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,8566
2013-10-27T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,8609
2013-10-27T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7858
2013-11-03T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7995
2013-11-03T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7625
2013-11-10T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7561
2013-11-10T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7348
2013-11-17T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7413
2013-11-17T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6853
2013-11-24T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5741
2013-11-24T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5252
2013-12-01T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5976
2013-12-01T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5500
2013-12-08T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5567
2013-12-08T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5292
2013-12-15T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5683
2013-12-15T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5309
2013-12-22T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,3387
2013-12-22T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,3014
2013-12-29T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5128
2013-12-29T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,4675
2014-01-05T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6115
2014-01-05T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5693
2014-01-12T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7681
2014-01-12T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7170
2014-01-19T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7606
2014-01-19T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7073
2014-01-26T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7057
2014-01-26T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6634
2014-02-02T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,6106
2014-02-02T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5887
2014-02-09T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5400
2014-02-09T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5245
2014-02-16T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5002
2014-02-16T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,4930
2014-02-23T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7516
2014-02-23T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,6794
2014-03-02T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,5768
2014-03-02T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,5397
2014-03-09T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,8843
2014-03-09T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,8231
2014-03-16T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7714
2014-03-16T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7311
2014-03-23T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,7447
2014-03-23T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,7038
2014-03-30T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,9683
2014-03-30T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,9020
2014-04-06T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,11417
2014-04-06T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,10639
2014-04-13T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,9094
2014-04-13T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,8484
2014-04-20T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,9369
2014-04-20T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,8775
2014-04-27T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,13877
2014-04-27T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,12955
2014-05-04T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,11514
2014-05-04T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,10489
2014-05-11T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,17058
2014-05-11T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,15808
2014-05-18T00:00:00Z,Fremont Bridge East Sidewalk_Fremont,13883
2014-05-18T00:00:00Z,Fremont Bridge West Sidewalk_Fremont,13284
